==PROF== Connected to process 653974 (/home/ubuntu/.local/share/uv/python/cpython-3.12.14-linux-x86_64-gnu/bin/python3.12)
zk_witness_id_point_1    field=p255_bls12_381_scalar        rounds=20 first_ms=5936.373 median_ms=32.603 checksum=16327948443844
/tmp/zkduel-ncu-t.csv
==PROF== Disconnected from process 653974
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","GPU Speed Of Light Throughput","DRAM Frequency","hz","1592611772.83",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","GPU Speed Of Light Throughput","SM Frequency","hz","1109857128.22",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","411490",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","GPU Speed Of Light Throughput","Memory Throughput","%","37.33",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","GPU Speed Of Light Throughput","DRAM Throughput","%","13.69",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","GPU Speed Of Light Throughput","Duration","ns","370752",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","38.69",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","GPU Speed Of Light Throughput","L2 Cache Throughput","%","13.63",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","GPU Speed Of Light Throughput","SM Active Cycles","cycle","397073.66",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","62.85",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","SpeedOfLight","","","","SOLBottleneck","OPT","Compute is more heavily utilized than Memory: Look at the Compute Workload Analysis section to see what the compute pipelines are spending their time doing. Also, consider whether any computation is redundant and could be reduced or moved to look-up tables.","",""
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","Warp State Statistics","Warp Cycles Per Issued Instruction","cycle","8.71",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","Warp State Statistics","Warp Cycles Per Executed Instruction","cycle","8.71",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","Warp State Statistics","Avg. Active Threads Per Warp","","31.98",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","Warp State Statistics","Avg. Not Predicated Off Threads Per Warp","","31.53",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","WarpStateStats","","","","CPIStall","WRN","The optional metric smsp__pcsamp_sample_count could not be found. Collecting it as an additional metric could enable the rule to provide more guidance.","",""
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","WarpStateStats","","","","CPIStall","OPT","On average, each warp of this workload spends 3.2 cycles being stalled waiting to be selected to fetch an instruction or waiting on an instruction cache miss. A high number of warps not having an instruction fetched is typical for very short kernels with less than one full wave of work in the grid. Excessively jumping across large blocks of assembly code can also lead to more warps stalled for this reason, if this causes misses in the instruction cache. See also the related Branch Resolving state. This stall type represents about 37.1% of the total average of 8.7 cycles between issuing two instructions.","local","37.11"
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","WarpStateStats","","","","CPIStall","INF","Check the Warp Stall Sampling (All Samples) table for the top stall locations in your source based on sampling data. The Kernel Profiling Guide (https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html#metrics-reference) provides more details on each stall reason.","",""
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","Instruction Statistics","Avg. Executed Instructions Per Scheduler","inst","222711.02",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","Instruction Statistics","Executed Instructions","inst","101556224",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","Instruction Statistics","Avg. Issued Instructions Per Scheduler","inst","222730.83",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","Instruction Statistics","Issued Instructions","inst","101565260",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","Launch Statistics","Block Size","","128",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","Launch Statistics","Cluster Scheduling Policy","","PolicySpread",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","Launch Statistics","Cluster Size","","0",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","Launch Statistics","Function Cache Configuration","","CachePreferNone",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","Launch Statistics","Grid Size","","4096",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","Launch Statistics","Registers Per Thread","register/thread","86",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","Launch Statistics","Shared Memory Configuration Size","byte","32768",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","Launch Statistics","Driver Shared Memory Per Block","byte/block","1024",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","Launch Statistics","Dynamic Shared Memory Per Block","byte/block","1024",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","Launch Statistics","Static Shared Memory Per Block","byte/block","0",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","Launch Statistics","# SMs","SM","114",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","Launch Statistics","Stack Size","","1024",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","Launch Statistics","Threads","thread","524288",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","Launch Statistics","# TPCs","","57",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","Launch Statistics","Enabled TPC IDs","","all",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","Launch Statistics","Uses Green Context","","0",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","Launch Statistics","Waves Per SM","","7.19",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","Occupancy","Max Active Clusters","cluster","0",
"0","653974","python3.12","127.0.0.1","_round_eval_specialized_kernel","1","7","(128, 1, 1)","(4096, 1, 1)","0","9.0","Occupancy","Max Cluster Size","block","8",
